epoch,iteration,model_id,nid,weight_index,arg_1,op_1,arg_2,op_2,arg_3,op_3,result
1,1,TestBatch,2,0,1.0,*,-911308.5190190078,=,-911308.5190190078, ,-911308.5190190078
1,1,TestBatch,0,0,1.0,*,219688.8289202997,=,219688.8289202997, ,219688.8289202997
1,1,TestBatch,1,0,1.0,*,161048.91706246327,=,161048.91706246327, ,161048.91706246327
1,2,TestBatch,2,0,1.0,*,-972716.3961798779,=,-972716.3961798779, ,-1884024.9151988858
1,2,TestBatch,0,0,1.0,*,423278.83171766886,=,423278.83171766886, ,642967.6606379686
1,2,TestBatch,1,0,1.0,*,171901.0659625735,=,171901.0659625735, ,332949.98302503675
1,3,TestBatch,2,0,1.0,*,-922656.1064371658,=,-922656.1064371658, ,-922656.1064371658
1,3,TestBatch,0,0,1.0,*,27321391.257662036,=,27321391.257662036, ,27321391.257662036
1,3,TestBatch,1,0,1.0,*,36665271.883497834,=,36665271.883497834, ,36665271.883497834
1,4,TestBatch,2,0,1.0,*,-126810.95242612938,=,-126810.95242612938, ,-1049467.0588632952
1,4,TestBatch,0,0,1.0,*,3755084.5031197933,=,3755084.5031197933, ,31076475.76078183
1,4,TestBatch,1,0,1.0,*,5039318.567416846,=,5039318.567416846, ,41704590.45091468
1,5,TestBatch,2,0,1.0,*,-873842.6332602213,=,-873842.6332602213, ,-873842.6332602213
1,5,TestBatch,0,0,1.0,*,45133216.33122088,=,45133216.33122088, ,45133216.33122088
1,5,TestBatch,1,0,1.0,*,53982755.38914677,=,53982755.38914677, ,53982755.38914677
1,6,TestBatch,2,0,1.0,*,-954566.9421051472,=,-954566.9421051472, ,-1828409.5753653685
1,6,TestBatch,0,0,1.0,*,49302557.07475195,=,49302557.07475195, ,94435773.40597284
1,6,TestBatch,1,0,1.0,*,58969603.652746975,=,58969603.652746975, ,112952359.04189375
1,7,TestBatch,2,0,1.0,*,-538723.6286019634,=,-538723.6286019634, ,-538723.6286019634
1,7,TestBatch,0,0,1.0,*,48508502.11911556,=,48508502.11911556, ,48508502.11911556
1,7,TestBatch,1,0,1.0,*,53964239.355182566,=,53964239.355182566, ,53964239.355182566
1,8,TestBatch,2,0,1.0,*,-861535.8117245717,=,-861535.8117245717, ,-1400259.4403265351
1,8,TestBatch,0,0,1.0,*,77575605.61653638,=,77575605.61653638, ,126084107.73565194
1,8,TestBatch,1,0,1.0,*,86300511.59556073,=,86300511.59556073, ,140264750.9507433
1,9,TestBatch,2,0,1.0,*,-529946.8263603726,=,-529946.8263603726, ,-529946.8263603726
1,9,TestBatch,0,0,1.0,*,63300581.05572367,=,63300581.05572367, ,63300581.05572367
1,9,TestBatch,1,0,1.0,*,68667434.26246509,=,68667434.26246509, ,68667434.26246509
1,10,TestBatch,2,0,1.0,*,-573856.7876383328,=,-573856.7876383328, ,-1103803.6139987055
1,10,TestBatch,0,0,1.0,*,68545496.06374201,=,68545496.06374201, ,131846077.11946568
1,10,TestBatch,1,0,1.0,*,74357032.21747077,=,74357032.21747077, ,143024466.47993585
1,11,TestBatch,2,0,1.0,*,-408662.6824704353,=,-408662.6824704353, ,-408662.6824704353
1,11,TestBatch,0,0,1.0,*,58285720.33263437,=,58285720.33263437, ,58285720.33263437
1,11,TestBatch,1,0,1.0,*,62424310.31713323,=,62424310.31713323, ,62424310.31713323
1,12,TestBatch,2,0,1.0,*,-873185.7575800119,=,-873185.7575800119, ,-1281848.4400504471
1,12,TestBatch,0,0,1.0,*,124538557.22055069,=,124538557.22055069, ,182824277.55318505
1,12,TestBatch,1,0,1.0,*,133381443.99719964,=,133381443.99719964, ,195805754.31433287
1,13,TestBatch,2,0,1.0,*,-518645.5571793226,=,-518645.5571793226, ,-518645.5571793226
1,13,TestBatch,0,0,1.0,*,87932555.12517315,=,87932555.12517315, ,87932555.12517315
1,13,TestBatch,1,0,1.0,*,93184958.63672322,=,93184958.63672322, ,93184958.63672322
1,14,TestBatch,2,0,1.0,*,-172789.50671012868,=,-172789.50671012868, ,-691435.0638894513
1,14,TestBatch,0,0,1.0,*,29295195.17427694,=,29295195.17427694, ,117227750.2994501
1,14,TestBatch,1,0,1.0,*,31045061.14582616,=,31045061.14582616, ,124230019.78254938
1,15,TestBatch,2,0,1.0,*,-617465.7864318222,=,-617465.7864318222, ,-617465.7864318222
1,15,TestBatch,0,0,1.0,*,113651940.81268999,=,113651940.81268999, ,113651940.81268999
1,15,TestBatch,1,0,1.0,*,119905112.01992968,=,119905112.01992968, ,119905112.01992968
1,16,TestBatch,2,0,1.0,*,-688666.2271752331,=,-688666.2271752331, ,-1306132.0136070554
1,16,TestBatch,0,0,1.0,*,126757230.94377495,=,126757230.94377495, ,240409171.75646496
1,16,TestBatch,1,0,1.0,*,133731459.99062765,=,133731459.99062765, ,253636572.01055732
1,17,TestBatch,2,0,1.0,*,-149485.29144226902,=,-149485.29144226902, ,-149485.29144226902
1,17,TestBatch,0,0,1.0,*,31614497.923006885,=,31614497.923006885, ,31614497.923006885
1,17,TestBatch,1,0,1.0,*,33128358.51397882,=,33128358.51397882, ,33128358.51397882
1,18,TestBatch,2,0,1.0,*,-172068.1322894247,=,-172068.1322894247, ,-321553.42373169377
1,18,TestBatch,0,0,1.0,*,36390520.82244862,=,36390520.82244862, ,68005018.7454555
1,18,TestBatch,1,0,1.0,*,38133081.32403286,=,38133081.32403286, ,71261439.83801168
1,19,TestBatch,2,0,1.0,*,-983442.7821563241,=,-983442.7821563241, ,-983442.7821563241
1,19,TestBatch,0,0,1.0,*,214627762.659004,=,214627762.659004, ,214627762.659004
1,19,TestBatch,1,0,1.0,*,224587239.3206743,=,224587239.3206743, ,224587239.3206743
1,20,TestBatch,2,0,1.0,*,-621197.9981784418,=,-621197.9981784418, ,-1604640.780334766
1,20,TestBatch,0,0,1.0,*,135571015.3517584,=,135571015.3517584, ,350198778.0107624
1,20,TestBatch,1,0,1.0,*,141861983.24271095,=,141861983.24271095, ,366449222.56338525
1,21,TestBatch,2,0,1.0,*,-455545.5618325767,=,-455545.5618325767, ,-455545.5618325767
1,21,TestBatch,0,0,1.0,*,114768612.75445203,=,114768612.75445203, ,114768612.75445203
1,21,TestBatch,1,0,1.0,*,119381992.88567947,=,119381992.88567947, ,119381992.88567947
1,22,TestBatch,2,0,1.0,*,-896853.4155573067,=,-896853.4155573067, ,-1352398.9773898835
1,22,TestBatch,0,0,1.0,*,225950225.3375778,=,225950225.3375778, ,340718838.0920298
1,22,TestBatch,1,0,1.0,*,235032798.13515055,=,235032798.13515055, ,354414791.02083004
1,23,TestBatch,2,0,1.0,*,-445341.1513718428,=,-445341.1513718428, ,-445341.1513718428
1,23,TestBatch,0,0,1.0,*,124844832.58866912,=,124844832.58866912, ,124844832.58866912
1,23,TestBatch,1,0,1.0,*,129354871.08205679,=,129354871.08205679, ,129354871.08205679
1,24,TestBatch,2,0,1.0,*,-438655.7734515562,=,-438655.7734515562, ,-883996.9248233989
1,24,TestBatch,0,0,1.0,*,122970685.35417458,=,122970685.35417458, ,247815517.9428437
1,24,TestBatch,1,0,1.0,*,127413019.99475083,=,127413019.99475083, ,256767891.07680762
1,25,TestBatch,2,0,1.0,*,-384629.3738469381,=,-384629.3738469381, ,-384629.3738469381
1,25,TestBatch,0,0,1.0,*,114964978.60210547,=,114964978.60210547, ,114964978.60210547
1,25,TestBatch,1,0,1.0,*,118860179.56521809,=,118860179.56521809, ,118860179.56521809
1,26,TestBatch,2,0,1.0,*,-811232.8569629124,=,-811232.8569629124, ,-1195862.2308098504
