run_id,accuracy,best_mae,timestamp,arena_name,gladiator_name,architecture,problem_type,loss_function_name,hidden_activation_name,output_activation_name,weight_initializer_name,normalization_scheme,seed,learning_rate,epoch_count,convergence_condition,runtime_seconds,final_error
15,84.47343947582223,3.3163590522271362,2025-06-01T20:43:32.031051,MultiModal_Temperature,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Tanh,None,Xavier (Glorot),WIP,599059,0.001,100,Did Not Converge,0.638501,3.6098608546129234
16,93.33333333333333,0.1126957648502908,2025-06-01T20:43:34.505483,Parity_Check,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,1.128781,0.1126957648502908
17,53.333333333333336,0.4775034856462159,2025-06-01T20:43:36.445414,Parity_Check,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Xavier (Glorot),WIP,599059,0.01,100,Did Not Converge,0.861621,0.4775034856462159
18,90.0,0.229604183283848,2025-06-01T20:43:38.669882,Parity_Check,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Xavier (Glorot),WIP,599059,0.01,100,Did Not Converge,0.99675,0.229604183283848
19,60.0,0.4330520377666078,2025-06-01T20:43:40.316066,Parity_Check,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.876286,0.433101427680656
20,93.33333333333333,0.07954529087257357,2025-06-01T20:43:42.289023,Parity_Check,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.810685,0.07954529087257357
21,100.0,0.0004761227736116578,2025-06-01T20:43:44.844308,Iris_Two_Class,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,1.124049,0.0004761227736116578
22,100.0,0.00013204468186715012,2025-06-01T20:43:46.672212,Iris_Two_Class,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.755205,0.00013204468186715012
23,100.0,0.0004151676465813395,2025-06-01T20:43:48.998692,Iris_Two_Class,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,1.019562,0.0004151676465813395
24,56.666666666666664,0.44000089437365425,2025-06-01T20:43:50.574891,Iris_Two_Class,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.810515,0.44001495793793505
25,100.0,0.0009297466825569239,2025-06-01T20:43:52.616738,Iris_Two_Class,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.90657,0.0009297466825569239
26,91.93856707640636,0.5972563080648055,2025-06-01T20:43:55.628239,Deceptive_Multi_Regime_Entangler,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,599059,0.001,100,Did Not Converge,1.124934,0.5972563080648055
27,91.63936506086723,0.6015474854446374,2025-06-01T20:43:57.811183,Deceptive_Multi_Regime_Entangler,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,None,None,Xavier (Glorot),WIP,599059,0.001,100,Did Not Converge,0.809518,0.6194236191198212
28,92.77562386393544,0.535240354908758,2025-06-01T20:43:59.930614,Deceptive_Multi_Regime_Entangler,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,ReLU,None,Xavier (Glorot),WIP,599059,0.001,100,Did Not Converge,0.887901,0.535240354908758
29,93.92037132047663,0.4366486867377359,2025-06-01T20:44:01.830457,Deceptive_Multi_Regime_Entangler,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Sigmoid,None,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.803149,0.4504281824276909
30,83.52010371500936,1.122324718728785,2025-06-01T20:44:03.741534,Deceptive_Multi_Regime_Entangler,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Tanh,None,Xavier (Glorot),WIP,599059,0.01,100,Did Not Converge,0.791738,1.2209643255428484
31,90.0,0.08651726526891404,2025-06-01T20:44:06.302384,DefaultRisk__From_Income_Debt,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,1.087092,0.08651726526891404
32,90.0,0.08604448123613752,2025-06-01T20:44:08.083542,DefaultRisk__From_Income_Debt,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.746419,0.08604448123613752
33,93.33333333333333,0.08169389052413385,2025-06-01T20:44:10.311026,DefaultRisk__From_Income_Debt,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.947009,0.08169389052413385
34,93.33333333333333,0.09398378085225459,2025-06-01T20:44:12.161906,DefaultRisk__From_Income_Debt,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.765378,0.09398378085225459
35,86.66666666666667,0.08225168526911318,2025-06-01T20:44:14.114143,DefaultRisk__From_Income_Debt,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.841033,0.08225168526911318
36,100.0,0.003508930349438577,2025-06-01T20:44:16.745990,Moons,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,0.9999,0.003508930349438577
37,83.33333333333334,0.23932645836641328,2025-06-01T20:44:18.532148,Moons,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Xavier (Glorot),WIP,599059,0.01,100,Did Not Converge,0.750877,0.23932645836641328
38,93.33333333333333,0.14290095993954952,2025-06-01T20:44:20.622901,Moons,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.876513,0.14290095993954952
39,50.0,0.5133248661949872,2025-06-01T20:44:22.115178,Moons,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.745907,0.5133374704325115
40,50.0,0.5429809975206636,2025-06-01T20:44:23.843313,Moons,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.953547,0.5430059652769399
41,97.69458240342159,389.46514260384663,2025-06-01T20:44:25.839758,CarValueFromMiles,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,599059,1e-06,100,Did Not Converge,1.076313,389.46514260384663
42,97.488822373493,424.22516157708964,2025-06-01T20:44:27.264730,CarValueFromMiles,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,None,None,Xavier (Glorot),WIP,599059,1e-07,100,Did Not Converge,0.753644,424.22516157708964
43,97.53073326946375,417.144954893436,2025-06-01T20:44:29.983099,CarValueFromMiles,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,ReLU,None,Xavier (Glorot),WIP,599059,1e-07,100,Did Not Converge,0.913626,417.144954893436
44,65.92651443392552,5756.195725536529,2025-06-01T20:44:31.754322,CarValueFromMiles,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Sigmoid,None,Xavier (Glorot),WIP,599059,0.001,100,Did Not Converge,0.798109,5756.195725536529
45,85.45695188608731,2272.2464828503266,2025-06-01T20:44:33.556161,CarValueFromMiles,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,Tanh,None,Xavier (Glorot),WIP,599059,0.01,100,Did Not Converge,0.781574,2456.8261802052166
46,85.23745201479916,0.2899159151938121,2025-06-01T20:44:37.301792,California_Housing,All_Defaults,"[4, 4, 1]",Regression,Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,599059,0.01,100,Did Not Converge,1.491753,0.30523536299134085
1,56.666666666666664,0.15925099198232837,2025-06-01T20:47:19.468572,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,5.194603,0.36809693471144783
2,53.333333333333336,0.4666666666666667,2025-06-01T20:47:25.520167,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,Large Random,WIP,599059,1e-06,100,Did Not Converge,5.133384,0.4666666666666667
3,60.0,0.4627180156289405,2025-06-01T20:47:27.424763,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,Xavier Kill ReLU,WIP,599059,1e-06,100,Did Not Converge,0.991225,0.46273216817782675
4,86.66666666666667,0.19087387016733595,2025-06-01T20:47:29.824557,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,LeCun,WIP,599059,0.1,100,Did Not Converge,1.077551,0.19206220940468424
5,86.66666666666667,0.19583837171053345,2025-06-01T20:47:32.301051,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,Normal Random,WIP,599059,0.1,100,Did Not Converge,1.024968,0.19661756677825906
6,60.0,0.4850969791479643,2025-06-01T20:47:34.627772,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,Small Random,WIP,599059,0.1,100,Did Not Converge,1.036354,0.48509698107123916
7,60.0,0.435612498118765,2025-06-01T20:47:36.500691,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,Uniform Random,WIP,599059,1e-06,100,Did Not Converge,0.972148,0.43563288199355216
8,60.0,0.413323742718909,2025-06-01T20:47:38.518772,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,LeakyReLU,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,1.051296,0.41335674733552163
9,76.66666666666667,0.2763218271772294,2025-06-01T20:47:40.236758,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,0.714947,0.2763218271772294
10,63.33333333333333,0.36666666666666664,2025-06-01T20:47:41.702745,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Large Random,WIP,599059,1e-06,100,Did Not Converge,0.756334,0.36666666666666664
11,76.66666666666667,0.27969229830473613,2025-06-01T20:47:43.397460,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Xavier Kill ReLU,WIP,599059,0.1,100,Did Not Converge,0.743793,0.27969229830473613
12,76.66666666666667,0.27543301677728194,2025-06-01T20:47:45.103238,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,LeCun,WIP,599059,0.1,100,Did Not Converge,0.717975,0.27543301677728194
13,73.33333333333333,0.2662103137527977,2025-06-01T20:47:46.960404,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Normal Random,WIP,599059,0.01,100,Did Not Converge,0.806815,0.2662103137527977
14,60.0,0.4850964863411571,2025-06-01T20:47:48.801317,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Small Random,WIP,599059,0.1,100,Did Not Converge,0.737772,0.4850964863411571
15,76.66666666666667,0.27584323152532253,2025-06-01T20:47:50.600375,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Uniform Random,WIP,599059,0.1,100,Did Not Converge,0.798617,0.27584323152532253
16,76.66666666666667,0.2760948700861362,2025-06-01T20:47:52.390945,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,None,Sigmoid,Xavier (Glorot),WIP,599059,0.1,100,Did Not Converge,0.777479,0.2760948700861362
17,86.66666666666667,0.19726770568369795,2025-06-01T20:47:54.737870,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,0.939636,0.19769770424849029
18,56.666666666666664,0.43333333333333335,2025-06-01T20:47:56.508381,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Large Random,WIP,599059,1e-06,100,Did Not Converge,0.945513,0.43333333333333335
19,60.0,0.45378853035900957,2025-06-01T20:47:58.325503,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Xavier Kill ReLU,WIP,599059,1e-06,100,Did Not Converge,0.938424,0.4538038331982936
20,86.66666666666667,0.1901724109501554,2025-06-01T20:48:00.575424,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,LeCun,WIP,599059,0.1,100,Did Not Converge,0.989168,0.19065510654188675
21,86.66666666666667,0.19125937858098946,2025-06-01T20:48:02.690639,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Normal Random,WIP,599059,0.1,100,Did Not Converge,0.886337,0.19950992798894146
22,60.0,0.4850969781143342,2025-06-01T20:48:04.927887,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Small Random,WIP,599059,0.1,100,Did Not Converge,0.965916,0.4850969807204528
23,60.0,0.4355244167596146,2025-06-01T20:48:06.702928,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Uniform Random,WIP,599059,1e-06,100,Did Not Converge,0.899703,0.4355448672392083
24,60.0,0.41319921005679394,2025-06-01T20:48:08.546089,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,ReLU,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.976135,0.4132319380447133
25,76.66666666666667,0.29049682821520556,2025-06-01T20:48:10.399394,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,0.753874,0.29049682821520556
26,63.33333333333333,0.3700738442926386,2025-06-01T20:48:12.396033,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Large Random,WIP,599059,0.1,100,Did Not Converge,0.835573,0.3700738442926386
27,60.0,0.4439382896697543,2025-06-01T20:48:13.927697,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Xavier Kill ReLU,WIP,599059,1e-06,100,Did Not Converge,0.822072,0.4439634273979556
28,76.66666666666667,0.29596616944059406,2025-06-01T20:48:15.860229,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,LeCun,WIP,599059,0.1,100,Did Not Converge,0.849886,0.29596616944059406
29,80.0,0.2702024367851023,2025-06-01T20:48:17.740503,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Normal Random,WIP,599059,0.1,100,Did Not Converge,0.754872,0.2702024367851023
30,60.0,0.481123258500783,2025-06-01T20:48:19.696861,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Small Random,WIP,599059,0.01,100,Did Not Converge,0.837509,0.481123258500783
31,60.0,0.42333661090504465,2025-06-01T20:48:21.261940,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Uniform Random,WIP,599059,1e-06,100,Did Not Converge,0.820468,0.4233748104020565
32,60.0,0.4095599871011114,2025-06-01T20:48:22.862930,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Sigmoid,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.834025,0.4095820122540692
33,80.0,0.22037365273635448,2025-06-01T20:48:24.739186,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,He (Kaiming),WIP,599059,0.1,100,Did Not Converge,0.826843,0.22037365273635448
34,56.666666666666664,0.43333333333333335,2025-06-01T20:48:26.339904,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Large Random,WIP,599059,1e-06,100,Did Not Converge,0.817023,0.43333333333333335
35,90.0,0.1925585030512438,2025-06-01T20:48:28.314918,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Xavier Kill ReLU,WIP,599059,0.1,100,Did Not Converge,0.830615,0.1925585030512438
36,80.0,0.21134810071030338,2025-06-01T20:48:30.289885,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,LeCun,WIP,599059,0.1,100,Did Not Converge,0.859229,0.21134810071030338
37,96.66666666666667,0.07293742137911506,2025-06-01T20:48:32.176351,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Normal Random,WIP,599059,0.1,100,Did Not Converge,0.842375,0.07293742137911506
38,60.0,0.4850965255834684,2025-06-01T20:48:34.117893,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Small Random,WIP,599059,0.1,100,Did Not Converge,0.835681,0.4850965255834684
39,80.0,0.21667927836038597,2025-06-01T20:48:35.994469,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Uniform Random,WIP,599059,0.1,100,Did Not Converge,0.772752,0.21667927836038597
40,60.0,0.44972995500601287,2025-06-01T20:48:37.618377,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy,Tanh,Sigmoid,Xavier (Glorot),WIP,599059,1e-06,100,Did Not Converge,0.851999,0.4497504624160265
41,53.333333333333336,0.45523317610520936,2025-06-01T20:48:39.943901,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,He (Kaiming),WIP,599059,0.001,100,Did Not Converge,1.025351,0.6270044155890886
42,83.33333333333334,83837032066.51399,2025-06-01T20:48:42.271115,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,Large Random,WIP,599059,9.999999999999999e-06,100,Did Not Converge,1.111866,85825072067.38803
43,60.0,0.8061348733662751,2025-06-01T20:48:44.762110,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,Xavier Kill ReLU,WIP,599059,0.1,100,Did Not Converge,1.020218,0.8061348733662751
44,80.0,0.4007268541032917,2025-06-01T20:48:47.326886,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,LeCun,WIP,599059,0.01,100,Did Not Converge,1.128398,1.1999803873564683
45,50.0,0.6422285702641112,2025-06-01T20:48:49.935775,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,Normal Random,WIP,599059,0.001,100,Did Not Converge,1.046037,0.6788603607688958
46,60.0,0.40003627502846206,2025-06-01T20:48:52.465125,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,Small Random,WIP,599059,9.999999999999999e-05,100,Did Not Converge,1.091697,0.41744772378361134
47,80.0,1.1634999154434356,2025-06-01T20:48:55.022695,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,Uniform Random,WIP,599059,0.01,100,Did Not Converge,1.10136,1.6764649117799517
48,76.66666666666667,1.1510566052292546,2025-06-01T20:48:57.434853,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,LeakyReLU,None,Xavier (Glorot),WIP,599059,0.01,100,Did Not Converge,1.041068,1.5966428452299235
49,80.0,0.7056036341714582,2025-06-01T20:48:59.337712,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,He (Kaiming),WIP,599059,0.001,100,Did Not Converge,0.801404,1.1642061456279864
50,80.0,1342843601.4033678,2025-06-01T20:49:01.204377,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,Large Random,WIP,599059,9.999999999999999e-06,100,Did Not Converge,0.862916,6307333075.991174
51,76.66666666666667,0.8450677800037457,2025-06-01T20:49:03.125442,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,Xavier Kill ReLU,WIP,599059,0.01,100,Did Not Converge,0.792715,2.1838367258660267
52,76.66666666666667,0.48980225091350316,2025-06-01T20:49:05.037452,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,LeCun,WIP,599059,0.001,100,Did Not Converge,0.770207,0.9121607575058323
53,80.0,1.22875536181973,2025-06-01T20:49:06.936026,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,Normal Random,WIP,599059,0.001,100,Did Not Converge,0.786714,1.4739645496236402
54,60.0,0.4000434767274919,2025-06-01T20:49:08.960580,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,Small Random,WIP,599059,9.999999999999999e-05,100,Did Not Converge,0.862399,0.41684257404678865
55,70.0,0.5643329491228052,2025-06-01T20:49:10.815698,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,Uniform Random,WIP,599059,9.999999999999999e-05,100,Did Not Converge,0.773821,0.6258257937650133
56,80.0,0.6302782954386064,2025-06-01T20:49:12.684423,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,None,None,Xavier (Glorot),WIP,599059,0.001,100,Did Not Converge,0.804652,1.047161196193249
57,56.666666666666664,0.44959589815752893,2025-06-01T20:49:14.911197,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,ReLU,None,He (Kaiming),WIP,599059,0.001,100,Did Not Converge,0.947277,0.5924422423029607
58,60.0,0.40051084635287426,2025-06-01T20:49:17.229271,Titanic,All_Defaults,"[4, 4, 1]",Binary Decision,Binary Cross-Entropy with Logits,ReLU,None,Large Random,WIP,599059,0.001,100,Did Not Converge,0.951316,0.6041198336069572
