timestamp,run_id,runtime_seconds,gladiator,arena,accuracy,best_mae,final_mae,architecture,loss_function,hidden_activation,output_activation,weight_initializer,normalization_scheme,learning_rate,epoch_count,convergence_condition,problem_type,sample_count,target_min,target_max,target_min_label,target_max_label,target_mean,target_stdev,notes,rerun_config,seed
2025-06-11T21:50:23.836975,2,0.039643,All_Defaults,SimpleBinaryDecision,0.0,0.24580690540720057,0.24580690540720057,"[2, 8, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,5,Did Not Converge,Binary Decision,30,0.0,1.0,Alpha,Beta,0.6,0.4898979485566357,notes here,coming soon,599059
2025-06-11T21:51:10.799724,3,0.043968,All_Defaults,California_HousingUSD,0.0004867438542666136,206762.32692551546,206762.32692551546,"[2, 8, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-09,5,Did Not Converge,Regression,30,93800.0,452600.0,,,206763.33333333334,93281.58619053506,notes here,coming soon,599059
2025-06-11T21:51:12.022784,4,0.0476,All_Defaults,California_HousingUSD,77.20207680945782,47137.745919538036,47137.745919538036,"[2, 8, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,5,Did Not Converge,Regression,30,93800.0,452600.0,,,206763.33333333334,93281.58619053506,notes here,coming soon,599059
2025-06-11T21:51:20.919436,1,0.248458,All_Defaults,SimpleBinaryDecision,0.0,0.3668798125265037,0.3668798125265037,"[2, 8, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.01,5,Did Not Converge,Binary Decision,30,0.0,1.0,Alpha,Beta,0.6,0.4898979485566357,notes here,coming soon,599059
2025-06-11T21:51:21.954703,2,0.039956,All_Defaults,SimpleBinaryDecision,0.0,0.24580690540720057,0.24580690540720057,"[2, 8, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,5,Did Not Converge,Binary Decision,30,0.0,1.0,Alpha,Beta,0.6,0.4898979485566357,notes here,coming soon,599059
2025-06-11T21:51:23.562850,3,0.043012,All_Defaults,California_HousingUSD,0.0004867438542666136,206762.32692551546,206762.32692551546,"[2, 8, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,1e-09,5,Did Not Converge,Regression,30,93800.0,452600.0,,,206763.33333333334,93281.58619053506,notes here,coming soon,599059
2025-06-11T21:51:24.748009,4,0.044721,All_Defaults,California_HousingUSD,77.20207680945782,47137.745919538036,47137.745919538036,"[2, 8, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,5,Did Not Converge,Regression,30,93800.0,452600.0,,,206763.33333333334,93281.58619053506,notes here,coming soon,599059
2025-06-11T21:51:53.504130,1,0.242324,All_Defaults,SimpleBinaryDecision,0.0,0.3668798125265037,0.3668798125265037,"[2, 8, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.01,5,Did Not Converge,Binary Decision,30,0.0,1.0,Alpha,Beta,0.6,0.4898979485566357,notes here,coming soon,599059
2025-06-11T21:51:54.539871,2,0.041274,All_Defaults,SimpleBinaryDecision,0.0,0.24580690540720057,0.24580690540720057,"[2, 8, 1]",Binary Cross-Entropy,LeakyReLU,Sigmoid,He (Kaiming),WIP,0.1,5,Did Not Converge,Binary Decision,30,0.0,1.0,Alpha,Beta,0.6,0.4898979485566357,notes here,coming soon,599059
2025-06-11T21:52:24.661015,1,0.250283,All_Defaults,SimpleBinaryDecision,0.0,0.3668798125265037,0.3668798125265037,"[2, 8, 1]",Mean Squared Error,LeakyReLU,None,He (Kaiming),WIP,0.01,5,Did Not Converge,Binary Decision,30,0.0,1.0,Alpha,Beta,0.6,0.4898979485566357,notes here,coming soon,599059
